ts_iso,symbol,source,subsource,kind,seq_or_tradeid,px,sz,bid,ask,mid,recv_ts,ws_ts,arrival_ms,note
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235304,168.51,0.045,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235305,168.51,0.06,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235306,168.51,0.03,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235307,168.51,0.4,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235308,168.51,0.032,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235309,168.51,0.032,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235310,168.51,0.06,,,,1762783553584,0,1762783553599,
2025-11-10T14:05:53.599Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235311,168.51,1,,,,1762783553585,0,1762783553599,
2025-11-10T14:05:53.600Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235312,168.51,0.032,,,,1762783553585,0,1762783553599,
2025-11-10T14:05:53.600Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235313,168.51,0.032,,,,1762783553585,0,1762783553600,
2025-11-10T14:05:53.600Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235314,168.51,0.048,,,,1762783553585,0,1762783553600,
2025-11-10T14:05:53.600Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235315,168.51,0.031,,,,1762783553585,0,1762783553600,
2025-11-10T14:05:53.600Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235316,168.51,0.06,,,,1762783553585,0,1762783553600,
2025-11-10T14:05:53.600Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235317,168.51,10,,,,1762783553585,0,1762783553600,
2025-11-10T14:05:53.600Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235318,168.51,0.032,,,,1762783553585,0,1762783553600,
2025-11-10T14:05:53.600Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235335,168.52,0.03,,,,1762783553589,0,1762783553600,
2025-11-10T14:05:53.600Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235336,168.52,0.035,,,,1762783553589,0,1762783553600,
2025-11-10T14:05:53.600Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235337,168.52,0.03,,,,1762783553589,0,1762783553600,
2025-11-10T14:05:53.600Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235338,168.52,0.06,,,,1762783553589,0,1762783553600,
2025-11-10T14:05:53.600Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235339,168.52,0.009,,,,1762783553589,0,1762783553600,
2025-11-10T14:05:53.700Z,SOLUSDT,ws,ws,1,1703877089,168.51,0.822,,,,0,1762783553546,1762783553700,
2025-11-10T14:05:53.703Z,SOLUSDT,mmap,./rings/binance_trade_chunk3,1,235367,168.51,0.822,,,,1762783553687,0,1762783553703,
2025-11-10T14:05:53.835Z,SOLUSDT,ws,ws,1,1703877090,168.52,0.027,,,,0,1762783553682,1762783553835,
2025-11-10T14:05:53.835Z,SOLUSDT,ws,ws,1,1703877091,168.52,0.032,,,,0,1762783553682,1762783553835,
