ts_iso,symbol,source,subsource,kind,seq_or_tradeid,px,sz,bid,ask,mid,recv_ts,ws_ts,arrival_ms,price_diff,matched_with,note
2025-10-28T21:12:06.919Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10817,2.5764,6.6,,,,1761685926865,0,1761685926919,,,
2025-10-28T21:12:07.128Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10853,2.5764,491.8,,,,1761685927109,0,1761685927128,,,
2025-10-28T21:12:07.128Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10854,2.5764,2,,,,1761685927109,0,1761685927128,,,
2025-10-28T21:12:07.128Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10855,2.5764,2,,,,1761685927109,0,1761685927128,,,
2025-10-28T21:12:07.129Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10856,2.5764,2,,,,1761685927109,0,1761685927128,,,
2025-10-28T21:12:07.129Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10857,2.5764,2,,,,1761685927109,0,1761685927129,,,
2025-10-28T21:12:07.129Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10858,2.5764,2.1,,,,1761685927109,0,1761685927129,,,
2025-10-28T21:12:07.129Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10859,2.5764,2.1,,,,1761685927109,0,1761685927129,,,
2025-10-28T21:12:07.129Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10860,2.5764,38.6,,,,1761685927109,0,1761685927129,,,
2025-10-28T21:12:07.129Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10861,2.5764,2,,,,1761685927109,0,1761685927129,,,
2025-10-28T21:12:07.129Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10862,2.5764,2.1,,,,1761685927109,0,1761685927129,,,
2025-10-28T21:12:07.129Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10863,2.5763,2,,,,1761685927110,0,1761685927129,,,
2025-10-28T21:12:07.129Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10864,2.5763,2.1,,,,1761685927110,0,1761685927129,,,
2025-10-28T21:12:07.129Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10865,2.5763,2.1,,,,1761685927110,0,1761685927129,,,
2025-10-28T21:12:07.129Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10866,2.5763,2.1,,,,1761685927110,0,1761685927129,,,
2025-10-28T21:12:07.130Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10883,2.5762,2,,,,1761685927114,0,1761685927130,,,
2025-10-28T21:12:07.130Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10884,2.5762,2.1,,,,1761685927115,0,1761685927130,,,
2025-10-28T21:12:07.130Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10885,2.5762,2.1,,,,1761685927115,0,1761685927130,,,
2025-10-28T21:12:07.191Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10886,2.5762,2,,,,1761685927144,0,1761685927191,,,
2025-10-28T21:12:07.191Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10887,2.5762,2,,,,1761685927144,0,1761685927191,,,
2025-10-28T21:12:07.191Z,XRPUSDT,mmap,rings/binance_trade_chunk3,1,10888,2.5762,2.1,,,,1761685927144,0,1761685927191,,,
