ws_idx,mmap_idx,ws_id,mmap_id,ws_ts_ms,mmap_ts_ms,dt_ms,ws_px,mmap_px,price_diff,abs_diff
134,19,,1547.0,1761504975866.0,1761504975810.0,56.0,,113647.77,,
135,19,,1547.0,1761504975866.0,1761504975810.0,56.0,,113647.77,,
136,19,,1547.0,1761504975934.0,1761504975810.0,124.0,,113647.77,,
137,19,,1547.0,1761504975950.0,1761504975810.0,140.0,,113647.77,,
138,19,,1547.0,1761504975966.0,1761504975810.0,156.0,,113647.77,,
139,19,,1547.0,1761504975966.0,1761504975810.0,156.0,,113647.77,,
140,19,,1547.0,1761504975967.0,1761504975810.0,157.0,,113647.77,,
141,19,,1547.0,1761504975967.0,1761504975810.0,157.0,,113647.77,,
143,19,,1547.0,1761504976118.0,1761504975810.0,308.0,,113647.77,,
142,19,,1547.0,1761504976118.0,1761504975810.0,308.0,,113647.77,,
144,19,,1547.0,1761504976168.0,1761504975810.0,358.0,,113647.77,,
145,20,,1581.0,1761504976262.0,1761504976669.0,407.0,,113647.77,,
146,20,,1581.0,1761504976265.0,1761504976669.0,404.0,,113647.77,,
147,20,,1581.0,1761504976265.0,1761504976669.0,404.0,,113647.77,,
148,20,,1581.0,1761504976362.0,1761504976669.0,307.0,,113647.77,,
154,20,5390928260.0,1581.0,1761504976551.0,1761504976669.0,118.0,113647.77,113647.77,0.0,0.0
149,20,,1581.0,1761504976567.0,1761504976669.0,102.0,,113647.77,,
150,20,,1581.0,1761504976578.0,1761504976669.0,91.0,,113647.77,,
151,20,,1581.0,1761504976579.0,1761504976669.0,90.0,,113647.77,,
152,20,,1581.0,1761504976679.0,1761504976669.0,10.0,,113647.77,,
153,20,,1581.0,1761504976679.0,1761504976669.0,10.0,,113647.77,,
155,20,,1581.0,1761504976708.0,1761504976669.0,39.0,,113647.77,,
156,20,,1581.0,1761504976772.0,1761504976669.0,103.0,,113647.77,,
157,20,,1581.0,1761504976775.0,1761504976669.0,106.0,,113647.77,,
158,20,,1581.0,1761504976776.0,1761504976669.0,107.0,,113647.77,,
166,20,5390928261.0,1581.0,1761504976786.0,1761504976669.0,117.0,113647.77,113647.77,0.0,0.0
